Command	Result
{ spacebar }	{   }
{ new line }	{ \newline%
}
{ new paragraph }	{ \newline%
\newline%
}
{ open quote }	{ “ }
{ close quote }	{ ” }
{ smiley }	{ :{-}) }
{ winky }	{ ;{-}) }
{ frowny }	{ :{-}( }
