Command	Result
{ state var }	{ Insert "var ".  }
{ boxed {[}type{]} \{user.java{-}boxed{-}type\} }	{ Insert "$<$user.java\_boxed\_type$>$ +  ".  }
{ generic {[}type{]} \{user.java{-}generic{-}data{-}structure\} }	{ Insert `before + after`, leaving cursor between `before` and `after`. Not entirely reliable if `after` contains newlines..  }
{ type \{user.code{-}type\} array }	{ Insert "$<$user.code\_type$>$". code\_operator\_subscript (e.g., C++ {[}{]}).  }
{ {[}state{]} \{user.java{-}modifier\} }	{ Insert "$<$user.java\_modifier$>$ +  ".  }
{ op array }	{ code\_operator\_subscript (e.g., C++ {[}{]}).  }
{ op new }	{ Insert "new ".  }
