Command	Result
{ assign {[}$<$user.vimscript{-}scope$>${]} (variable | var) {[}$<$user.text$>${]} {[}over{]} }	{ Insert "let ". Insert "$<$vimscript\_scope$>$ or ". inserts properly formatted private function name.  }
{ {[}$<$user.vimscript{-}scope$>${]} (variable | var) {[}$<$user.text$>${]} {[}over{]} }	{ Insert "$<$vimscript\_scope$>$ or ". inserts properly formatted private function name.  }
{ $<$user.vimscript{-}functions$>$ }	{ Insert "$<$vimscript\_functions$>$  ".  }
{ state command }	{ Insert "command! ".  }
{ state end if }	{ Insert "endif".  }
{ state end for }	{ Insert "endfor".  }
{ state end while }	{ Insert "endwhile".  }
{ state end function }	{ Insert "endfunction".  }
{ state continue }	{ Insert "continue".  }
