Command	Result
{ replace $<$user.draft{-}anchor$>$ with $<$user.text$>$ }	{ Selects text in the draft window. Let $<$result$>$ be $<$text$>$ (formatted with NOOP). Insert "$<$result$>$".  }
{ (pre | cursor | cursor before) $<$user.draft{-}anchor$>$ }	{ Positions the caret in the draft window.  }
{ (post | cursor after) $<$user.draft{-}anchor$>$ }	{ Positions the caret in the draft window.  }
{ (take | select) $<$user.draft{-}anchor$>$ }	{ Selects text in the draft window.  }
{ (take | select) $<$user.draft{-}anchor$>$ (through | past) $<$user.draft{-}anchor$>$ }	{ Selects text in the draft window.  }
{ (change | chuck | clear) $<$user.draft{-}anchor$>$ }	{ Selects text in the draft window. Press backspace.  }
{ (change | chuck | clear) $<$user.draft{-}anchor$>$ (through | past) $<$user.draft{-}anchor$>$ }	{ Selects text in the draft window. Press backspace.  }
{ $<$user.formatters$>$ word $<$user.draft{-}anchor$>$ }	{ Selects text in the draft window. Reformats the current selection..  }
{ $<$user.formatters$>$ $<$user.draft{-}anchor$>$ (through | past) $<$user.draft{-}anchor$>$ }	{ Selects text in the draft window. Reformats the current selection..  }
