Command	Result
{ draft this }	{ Open draft editor.  }
{ draft all }	{ Select all text in the current document. Open draft editor.  }
{ draft line }	{ Select entire line $<$n$>$, or current line. Open draft editor.  }
{ draft top }	{ Extend selection to start of file. Open draft editor.  }
{ draft bottom }	{ Extend selection to end of file. Open draft editor.  }
{ draft submit }	{ Paste last submitted draft.  }
