Command	Result
{ welcome back }	{ Enable control mouse, zoom mouse, and disables cursor. Enables the history. For windows and Mac with Dragon, enables Talon commands and Dragon's command mode..  }
{ sleep all {[}$<$phrase$>${]} }	{ Hides list of running applications. Disables the history. Hides the homophones display. Hides the help. Disables control mouse, zoom mouse, and re{-}enables cursor. Disable speech recognition. Sleep the engine.  }
{ talon sleep {[}$<$phrase$>${]} }	{ Disable speech recognition.  }
{ talon wake }	{ Enable speech recognition.  }
{ drowsy {[}$<$phrase$>${]} }	{ Disable speech recognition.  }
